Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 68
75;Nouvelle-Aquitaine;Données temps réel;2023-07-20;11:00;2023-07-20T11:00:00+02:00;4961;33;4533;22;2209;122;0;170;-2128;0;0;0.67;5.9;91.37;68.37;0.44;1.39;44.53;56.98;2.46;5.44;3.43;52.15;
75;Nouvelle-Aquitaine;Données temps réel;2023-07-24;06:45;2023-07-24T06:45:00+02:00;3325;60;4130;384;77;32;0;9;-1367;0;0;1.8;10.73;124.21;62.29;11.55;24.26;2.32;1.99;0.96;1.43;0.27;2.76;
75;Nouvelle-Aquitaine;Données temps réel;2023-05-18;06:45;2023-05-18T06:45:00+02:00;3404;35;3254;564;58;278;0;175;-960;-;-;1.03;6.26;95.59;49.08;16.57;35.63;1.7;1.5;8.17;12.41;5.14;53.68;
75;Nouvelle-Aquitaine;Données temps réel;2023-06-15;10:30;2023-06-15T10:30:00+02:00;4572;35;4613;141;1185;362;0;167;-1931;-;-;0.77;6.26;100.9;69.58;3.08;8.91;25.92;30.56;7.92;16.15;3.65;51.23;
75;Nouvelle-Aquitaine;Données temps réel;2023-06-16;01:45;2023-06-16T01:45:00+02:00;3609;35;4487;128;0;343;0;170;-1555;-;-;0.97;6.26;124.33;67.68;3.55;8.09;0.0;0.0;9.5;15.31;4.71;52.15;
75;Nouvelle-Aquitaine;Données temps réel;2023-07-25;14:45;2023-07-25T14:45:00+02:00;4268;60;4379;625;2163;9;0;9;-2977;0;0;1.41;10.73;102.6;66.05;14.64;39.48;50.68;55.79;0.21;0.4;0.21;2.76;
75;Nouvelle-Aquitaine;Données temps réel;2023-03-01;23:00;2023-03-01T23:00:00+01:00;6576;208;3432;512;0;280;0;160;1983;-;-;3.16;35.74;52.19;51.76;7.79;38.64;0.0;0.0;4.26;12.61;2.43;47.48;
75;Nouvelle-Aquitaine;Données temps réel;2023-03-06;10:45;2023-03-06T10:45:00+01:00;7283;208;2203;46;1175;684;-;155;2812;-;-;2.86;35.74;30.25;33.23;0.63;3.47;16.13;34.12;9.39;30.8;2.13;45.99;
24;Centre-Val de Loire;Données temps réel;2023-02-01;07:15;2023-02-01T07:15:00+01:00;2874;92;9363;300;0;11;-;43;-6935;-;-;3.2;39.32;325.78;80.51;10.44;20.79;0.0;0.0;0.38;11.96;1.5;47.78;
24;Centre-Val de Loire;Données temps réel;2023-02-20;20:00;2023-02-20T20:00:00+01:00;2334;92;8476;147;0;11;-;43;-6435;-;-;3.94;39.32;363.15;72.88;6.3;10.19;0.0;0.0;0.47;11.96;1.84;47.78;
