Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 68
93;Provence-Alpes-Côte d'Azur;Données temps réel;2024-01-22;15:00;2024-01-22T15:00:00+01:00;5506;112;0;4;448;1609;0;103;3231;-0;0;2.03;4.12;0.0;;0.07;4.17;8.14;19.93;29.22;49.01;1.87;34.68;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2024-02-09;09:00;2024-02-09T09:00:00+01:00;4696;108;0;75;95;1531;0;77;2810;-0;0;2.3;3.97;0.0;;1.6;78.13;2.02;4.23;32.6;46.63;1.64;25.93;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2024-02-12;00:00;2024-02-12T00:00:00+01:00;4839;142;0;51;0;1012;0;74;3560;-0;0;2.93;5.23;0.0;;1.05;53.13;0.0;0.0;20.91;30.83;1.53;24.92;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2024-02-21;11:30;2024-02-21T11:30:00+01:00;4377;136;0;8;1032;1637;0;82;1482;-0;0;3.11;5.01;0.0;;0.18;8.33;23.58;45.91;37.4;49.86;1.87;27.61;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2024-03-15;02:45;2024-03-15T02:45:00+01:00;4137;97;0;1;0;1510;0;86;2443;-0;0;2.34;3.57;0.0;;0.02;1.04;0.0;0.0;36.5;45.99;2.08;28.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2024-03-17;16:00;2024-03-17T16:00:00+01:00;3776;97;0;3;864;1540;0;97;1174;-0;0;2.57;3.57;0.0;;0.08;3.13;22.88;38.43;40.78;46.91;2.57;32.66;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2024-03-22;00:00;2024-03-22T00:00:00+01:00;3975;77;0;37;0;1931;0;104;1825;0;0;1.94;2.83;0.0;;0.93;38.54;0.0;0.0;48.58;58.82;2.62;35.02;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2024-04-08;18:15;2024-04-08T18:15:00+02:00;3758;69;0;75;282;1135;-50;99;2148;-0;0;1.84;2.54;0.0;;2.0;78.13;7.5;12.29;30.2;35.15;2.63;33.33;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2024-04-13;18:00;2024-04-13T18:00:00+02:00;3579;74;0;0;668;1448;-50;95;1345;-0;0;2.07;2.72;0.0;;0.0;0.0;18.66;29.12;40.46;44.84;2.65;31.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2024-04-19;01:45;2024-04-19T01:45:00+02:00;3752;73;0;46;0;1228;0;101;2304;-0;0;1.95;2.69;0.0;;1.23;47.92;0.0;0.0;32.73;38.03;2.69;34.01;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2024-04-20;15:15;2024-04-20T15:15:00+02:00;4050;73;0;46;1540;1209;-51;97;1136;0;0;1.8;2.69;0.0;;1.14;47.92;38.02;67.13;29.85;37.44;2.4;32.66;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2024-05-12;14:00;2024-05-12T14:00:00+02:00;3638;71;0;0;1235;824;0;86;1423;0;0;1.95;2.61;0.0;;0.0;0.0;33.95;53.84;22.65;25.52;2.36;28.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2024-05-14;13:45;2024-05-14T13:45:00+02:00;3919;71;0;0;353;1172;0;86;2237;0;0;1.81;2.61;0.0;;0.0;0.0;9.01;15.39;29.91;36.3;2.19;28.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2024-05-16;14:30;2024-05-16T14:30:00+02:00;3880;71;0;9;1378;1343;0;83;996;0;0;1.83;2.61;0.0;;0.23;9.38;35.52;60.07;34.61;41.59;2.14;27.95;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2024-05-21;22:45;2024-05-21T22:45:00+02:00;;;;;;;;;;;;;;;;;;;;;;;;
44;Grand Est;Données temps réel;2023-06-22;12:00;2023-06-22T12:00:00+02:00;4150;892;6488;672;540;825;0;79;-5346;-;-;21.49;28.45;156.34;59.96;16.19;14.77;13.01;47.83;19.88;35.84;1.9;30.38;
44;Grand Est;Données temps réel;2023-06-30;23:15;2023-06-30T23:15:00+02:00;3977;1455;6153;1019;0;907;-2;79;-5634;-;-;36.59;46.41;154.71;56.87;25.62;22.39;0.0;0.0;22.81;39.4;1.99;30.38;
44;Grand Est;Données temps réel;2023-07-08;16:45;2023-07-08T16:45:00+02:00;4213;27;6480;143;758;525;-4;81;-3797;-;-;0.64;0.86;153.81;59.89;3.39;3.14;17.99;67.14;12.46;22.81;1.92;31.15;
44;Grand Est;Données temps réel;2023-07-15;03:30;2023-07-15T03:30:00+02:00;2983;27;6030;1892;0;858;0;81;-5906;-;-;0.91;0.86;202.15;55.73;63.43;41.57;0.0;0.0;28.76;37.27;2.72;31.15;
44;Grand Est;Données temps réel;2023-07-16;19:00;2023-07-16T19:00:00+02:00;3870;350;7184;1074;253;838;0;81;-5909;-;-;9.04;11.16;185.63;66.4;27.75;23.6;6.54;22.41;21.65;36.4;2.09;31.15;
44;Grand Est;Données temps réel;2023-04-12;16:15;2023-04-12T16:15:00+02:00;5422;373;2188;2755;510;725;0;88;-1216;-;-;6.88;11.9;40.35;20.22;50.81;60.54;9.41;45.17;13.37;31.49;1.62;33.85;
44;Grand Est;Données temps réel;2023-04-14;16:15;2023-04-14T16:15:00+02:00;4781;1209;4394;1043;409;724;-513;88;-2574;-;-;25.29;38.56;91.91;40.61;21.82;22.92;8.55;36.23;15.14;31.45;1.84;33.85;
44;Grand Est;Données temps réel;2023-04-20;09:45;2023-04-20T09:45:00+02:00;5548;1712;5843;599;399;1306;0;88;-4398;-;-;30.86;54.61;105.32;54.0;10.8;13.16;7.19;35.34;23.54;56.73;1.59;33.85;
44;Grand Est;Données temps réel;2023-04-25;16:45;2023-04-25T16:45:00+02:00;5118;980;6613;519;359;925;-491;88;-3874;-;-;19.15;31.26;129.21;61.12;10.14;11.4;7.01;31.8;18.07;40.18;1.72;33.85;
44;Grand Est;Données temps réel;2023-04-25;19:45;2023-04-25T19:45:00+02:00;5243;1723;6619;227;57;1524;0;88;-4995;-;-;32.86;54.96;126.24;61.17;4.33;4.99;1.09;5.05;29.07;66.2;1.68;33.85;
44;Grand Est;Données temps réel;2023-05-11;03:30;2023-05-11T03:30:00+02:00;4416;769;6834;193;0;1071;0;92;-4544;-;-;17.41;24.53;154.76;63.16;4.37;4.24;0.0;0.0;24.25;46.52;2.08;35.38;
44;Grand Est;Données temps réel;2023-05-17;02:45;2023-05-17T02:45:00+02:00;3931;337;7104;1095;0;1098;0;92;-5796;-;-;8.57;10.75;180.72;65.66;27.86;24.06;0.0;0.0;27.93;47.7;2.34;35.38;
44;Grand Est;Données temps réel;2023-05-22;10:45;2023-05-22T10:45:00+02:00;4759;1038;6337;145;596;1109;0;92;-4558;-;-;21.81;33.11;133.16;58.57;3.05;3.19;12.52;52.79;23.3;48.18;1.93;35.38;
44;Grand Est;Données temps réel;2023-06-12;02:30;2023-06-12T02:30:00+02:00;3760;1357;6633;400;0;812;0;79;-5521;-;-;36.09;43.29;176.41;61.3;10.64;8.79;0.0;0.0;21.6;35.27;2.1;30.38;
44;Grand Est;Données temps réel;2023-06-12;21:45;2023-06-12T21:45:00+02:00;4244;1407;6666;738;11;914;0;79;-5570;-;-;33.15;44.88;157.07;61.61;17.39;16.22;0.26;0.97;21.54;39.7;1.86;30.38;
44;Grand Est;Données temps réel;2023-03-28;19:00;2023-03-28T19:00:00+02:00;5713;1239;4834;504;39;1272;0;100;-2274;-;-;21.69;38.63;84.61;44.68;8.82;11.93;0.68;4.02;22.27;55.04;1.75;39.06;
44;Grand Est;Données temps réel;2023-04-04;11:30;2023-04-04T11:30:00+02:00;5575;502;4727;807;819;978;0;88;-2346;-;-;9.0;15.65;84.79;43.69;14.48;19.11;14.69;84.52;17.54;42.32;1.58;34.38;
