Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 68
76;Occitanie;Données temps réel;2023-10-04;21:00;2023-10-04T21:00:00+02:00;3966;9;1247;139;0;1028;0;175;1369;0;0;0.23;3.1;31.44;47.6;3.5;8.48;0.0;0.0;25.92;19.41;4.41;102.34;
76;Occitanie;Données temps réel;2023-10-08;17:15;2023-10-08T17:15:00+02:00;3348;4;1221;89;1184;360;-422;180;732;0;0;0.12;1.38;36.47;46.6;2.66;5.43;35.36;38.3;10.75;6.8;5.38;105.26;
76;Occitanie;Données temps réel;2023-10-14;07:15;2023-10-14T07:15:00+02:00;2931;5;1238;196;0;314;-847;180;1844;0;0;0.17;1.72;42.24;47.25;6.69;11.95;0.0;0.0;10.71;5.93;6.14;105.26;
76;Occitanie;Données temps réel;2023-10-18;20:45;2023-10-18T20:45:00+02:00;3874;10;1030;159;0;446;-0;175;2055;0;0;0.26;3.45;26.59;39.31;4.1;9.7;0.0;0.0;11.51;8.42;4.52;102.34;
76;Occitanie;Données temps réel;2023-08-06;18:00;2023-08-06T18:00:00+02:00;3448;3;0;961;1335;410;-204;179;789;0;0;0.09;1.03;0.0;0.0;27.87;58.6;38.72;43.19;11.89;7.74;5.19;104.68;
76;Occitanie;Données temps réel;2023-08-19;09:15;2023-08-19T09:15:00+02:00;3803;5;0;131;752;514;-418;179;2730;0;0;0.13;1.72;0.0;0.0;3.44;7.99;19.77;24.33;13.52;9.71;4.71;104.68;
76;Occitanie;Données temps réel;2023-08-21;01:15;2023-08-21T01:15:00+02:00;3807;4;0;157;0;488;-0;178;3071;0;0;0.11;1.38;0.0;0.0;4.12;9.57;0.0;0.0;12.82;9.22;4.68;104.09;
76;Occitanie;Données temps réel;2023-03-27;01:30;2023-03-27T01:30:00+02:00;3380;66;0;1043;0;776;-868;117;2247;-;-;1.95;22.6;0.0;0.0;30.86;65.89;0.0;0.0;22.96;14.68;3.46;78.52;
76;Occitanie;Données temps réel;2023-04-02;13:00;2023-04-02T13:00:00+02:00;3640;3;0;1022;1532;1026;-255;81;231;-;-;0.08;1.03;0.0;0.0;28.08;64.56;42.09;55.55;28.19;19.41;2.23;54.36;
76;Occitanie;Données temps réel;2023-04-04;11:00;2023-04-04T11:00:00+02:00;4347;3;0;528;1830;925;0;82;980;-;-;0.07;1.03;0.0;0.0;12.15;33.35;42.1;66.35;21.28;17.5;1.89;55.03;
