Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 68
75;Nouvelle-Aquitaine;Données temps réel;2023-02-28;18:45;2023-02-28T18:45:00+01:00;6731;170;3416;273;77;869;0;168;1759;-;-;2.53;29.21;50.75;51.52;4.06;20.6;1.14;2.24;12.91;39.13;2.5;49.85;
75;Nouvelle-Aquitaine;Données temps réel;2023-02-28;19:30;2023-02-28T19:30:00+01:00;7001;170;3416;278;0;766;0;168;2202;-;-;2.43;29.21;48.79;51.52;3.97;20.98;0.0;0.0;10.94;34.49;2.4;49.85;
75;Nouvelle-Aquitaine;Données temps réel;2023-02-28;20:45;2023-02-28T20:45:00+01:00;7009;170;3416;263;0;450;0;166;2544;-;-;2.43;29.21;48.74;51.52;3.75;19.85;0.0;0.0;6.42;20.26;2.37;49.26;
75;Nouvelle-Aquitaine;Données temps réel;2023-03-01;00:30;2023-03-01T00:30:00+01:00;6733;208;3432;346;0;271;0;161;2316;-;-;3.09;35.74;50.97;51.76;5.14;26.11;0.0;0.0;4.02;12.2;2.39;47.77;
75;Nouvelle-Aquitaine;Données temps réel;2023-03-01;05:00;2023-03-01T05:00:00+01:00;6401;208;3432;364;0;245;0;160;1992;-;-;3.25;35.74;53.62;51.76;5.69;27.47;0.0;0.0;3.83;11.03;2.5;47.48;
75;Nouvelle-Aquitaine;Données temps réel;2023-04-11;11:15;2023-04-11T11:15:00+02:00;4689;47;3413;95;1403;335;0;183;-787;-;-;1.0;8.41;72.79;51.48;2.03;6.0;29.92;36.19;7.14;14.95;3.9;56.13;
75;Nouvelle-Aquitaine;Données temps réel;2023-04-11;14:45;2023-04-11T14:45:00+02:00;4249;47;3413;277;2115;344;0;193;-2140;-;-;1.11;8.41;80.32;51.48;6.52;17.5;49.78;54.55;8.1;15.35;4.54;59.2;
75;Nouvelle-Aquitaine;Données temps réel;2023-04-11;15:15;2023-04-11T15:15:00+02:00;4229;47;3413;302;2101;334;0;192;-2159;-;-;1.11;8.41;80.7;51.48;7.14;19.08;49.68;54.19;7.9;14.9;4.54;58.9;
75;Nouvelle-Aquitaine;Données temps réel;2023-04-11;17:15;2023-04-11T17:15:00+02:00;3851;47;3410;480;1631;336;0;186;-2240;-;-;1.22;8.41;88.55;51.43;12.46;30.32;42.35;42.07;8.73;14.99;4.83;57.06;
75;Nouvelle-Aquitaine;Données temps réel;2023-04-11;18:15;2023-04-11T18:15:00+02:00;3842;47;3410;493;1117;509;0;180;-1915;-;-;1.22;8.41;88.76;51.43;12.83;31.14;29.07;28.81;13.25;22.71;4.69;55.21;
