Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 68
24;Centre-Val de Loire;Données temps réel;2023-06-28;08:45;2023-06-28T08:45:00+02:00;1832;0;6419;33;204;14;0;48;-4885;-;-;0.0;0.0;350.38;55.19;1.8;2.07;11.14;26.09;0.76;15.22;2.62;53.93;
24;Centre-Val de Loire;Données temps réel;2023-07-02;11:15;2023-07-02T11:15:00+02:00;1528;0;4498;156;344;1;0;51;-3522;-;-;0.0;0.0;294.37;38.68;10.21;9.76;22.51;43.99;0.07;1.09;3.34;57.3;
24;Centre-Val de Loire;Données temps réel;2023-08-21;00:30;2023-08-21T00:30:00+02:00;1313;0;3998;385;0;27;0;0;-3097;0;0;0.0;0.0;304.49;34.38;29.32;24.09;0.0;0.0;2.06;29.35;0.0;0.0;
27;Bourgogne-Franche-Comté;Données temps réel;2023-10-06;07:45;2023-10-06T07:45:00+02:00;2228;14;0;65;5;81;0;0;2064;-1;1;0.63;3.66;0.0;;2.92;6.33;0.22;0.79;3.64;15.49;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2024-01-06;04:00;2024-01-06T04:00:00+01:00;2037;17;7264;215;0;33;0;0;-5491;0;0;0.83;7.39;356.6;62.46;10.55;13.06;0.0;0.0;1.62;35.87;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2024-01-10;16:45;2024-01-10T16:45:00+01:00;3211;7;8327;140;35;42;0;0;-5342;0;0;0.22;3.04;259.33;71.6;4.36;8.51;1.09;3.9;1.31;45.65;0.0;0.0;
27;Bourgogne-Franche-Comté;Données temps réel;2023-10-13;14:15;2023-10-13T14:15:00+02:00;1996;14;0;433;441;3;0;0;1106;-0;0;0.7;3.66;0.0;;21.69;42.16;22.09;69.56;0.15;0.57;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2024-01-23;20:45;2024-01-23T20:45:00+01:00;2390;10;7599;1236;0;35;0;0;-6489;0;0;0.42;4.35;317.95;65.34;51.72;75.09;0.0;0.0;1.46;38.04;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2024-02-03;08:15;2024-02-03T08:15:00+01:00;2249;10;7016;123;25;32;0;0;-4958;0;0;0.44;4.35;311.96;60.33;5.47;7.47;1.11;2.79;1.42;34.78;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2024-02-24;14:15;2024-02-24T14:15:00+01:00;2074;10;6861;1064;256;32;0;0;-6149;0;0;0.48;4.35;330.81;58.99;51.3;64.64;12.34;28.54;1.54;34.78;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2024-02-25;10:45;2024-02-25T10:45:00+01:00;2279;10;6893;537;122;32;0;0;-5314;0;0;0.44;4.35;302.46;59.27;23.56;32.62;5.35;13.6;1.4;34.78;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2024-02-25;19:45;2024-02-25T19:45:00+01:00;2355;10;6862;951;0;39;0;0;-5508;0;0;0.42;4.35;291.38;59.0;40.38;57.78;0.0;0.0;1.66;42.39;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2024-03-01;02:45;2024-03-01T02:45:00+01:00;2096;10;6981;546;0;43;0;0;-5484;0;0;0.48;4.35;333.06;60.03;26.05;33.17;0.0;0.0;2.05;46.74;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2024-03-09;05:30;2024-03-09T05:30:00+01:00;1767;10;7646;678;0;35;0;0;-6603;0;0;0.57;4.35;432.71;65.74;38.37;41.19;0.0;0.0;1.98;38.04;0.0;0.0;
27;Bourgogne-Franche-Comté;Données temps réel;2023-10-30;18:00;2023-10-30T18:00:00+01:00;2302;14;0;455;3;134;0;0;1696;-0;0;0.61;3.66;0.0;;19.77;44.3;0.13;0.47;5.82;25.62;0.0;0.0;
27;Bourgogne-Franche-Comté;Données temps réel;2023-11-01;04:15;2023-11-01T04:15:00+01:00;1510;20;0;373;0;25;0;0;1093;-0;0;1.32;5.22;0.0;;24.7;36.32;0.0;0.0;1.66;4.78;0.0;0.0;
27;Bourgogne-Franche-Comté;Données temps réel;2023-11-14;11:45;2023-11-14T11:45:00+01:00;2520;68;0;469;87;162;0;0;1734;-0;1;2.7;17.75;0.0;;18.61;45.67;3.45;13.72;6.43;30.98;0.0;0.0;
27;Bourgogne-Franche-Comté;Données temps réel;2023-11-30;11:00;2023-11-30T11:00:00+01:00;3225;76;0;79;69;39;0;0;2963;-1;0;2.36;19.79;0.0;;2.45;6.89;2.14;9.15;1.21;7.56;0.0;0.0;
27;Bourgogne-Franche-Comté;Données temps réel;2023-12-05;12:30;2023-12-05T12:30:00+01:00;3025;71;0;682;128;150;0;0;1995;-1;0;2.35;18.49;0.0;;22.55;59.46;4.23;16.98;4.96;29.07;0.0;0.0;
27;Bourgogne-Franche-Comté;Données temps réel;2024-01-20;19:15;2024-01-20T19:15:00+01:00;3163;20;0;346;0;251;0;0;2547;-0;1;0.63;5.21;0.0;;10.94;30.17;0.0;0.0;7.94;48.64;0.0;0.0;
27;Bourgogne-Franche-Comté;Données temps réel;2023-12-11;04:00;2023-12-11T04:00:00+01:00;1804;62;0;557;0;190;0;0;998;-2;0;3.44;16.15;0.0;;30.88;48.56;0.0;0.0;10.53;36.82;0.0;0.0;
27;Bourgogne-Franche-Comté;Données temps réel;2023-12-13;10:45;2023-12-13T10:45:00+01:00;2699;69;0;506;74;201;0;0;1849;-1;0;2.56;17.97;0.0;;18.75;44.12;2.74;9.81;7.45;38.95;0.0;0.0;
27;Bourgogne-Franche-Comté;Données temps réel;2023-12-20;15:30;2023-12-20T15:30:00+01:00;2822;72;0;152;43;187;0;0;2369;-1;0;2.55;18.75;0.0;;5.39;13.25;1.52;5.7;6.63;36.24;0.0;0.0;
27;Bourgogne-Franche-Comté;Données temps réel;2024-01-24;10:45;2024-01-24T10:45:00+01:00;2747;56;0;750;97;47;0;0;1798;-0;0;2.04;14.58;0.0;;27.3;65.39;3.53;12.86;1.71;9.11;0.0;0.0;
27;Bourgogne-Franche-Comté;Données temps réel;2024-01-29;17:30;2024-01-29T17:30:00+01:00;2484;72;0;124;9;261;0;0;2019;-1;0;2.9;18.75;0.0;;4.99;10.81;0.36;1.19;10.51;50.58;0.0;0.0;
27;Bourgogne-Franche-Comté;Données temps réel;2024-01-31;04:00;2024-01-31T04:00:00+01:00;2355;75;0;42;0;166;0;0;2072;-0;0;3.18;19.53;0.0;;1.78;3.66;0.0;0.0;7.05;32.17;0.0;0.0;
53;Bretagne;Données temps réel;2023-12-10;13:15;2023-12-10T13:15:00+01:00;2328;18;0;981;56;35;0;0;1237;0;0;0.77;1.26;0.0;;42.14;53.72;2.41;11.97;1.5;12.73;0.0;0.0;
53;Bretagne;Données temps réel;2023-12-10;19:15;2023-12-10T19:15:00+01:00;2390;19;0;614;0;0;-56;0;1814;0;0;0.79;1.33;0.0;;25.69;33.63;0.0;0.0;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2023-12-26;13:15;2023-12-26T13:15:00+01:00;2550;18;0;240;72;217;0;0;2004;0;0;0.71;1.26;0.0;;9.41;13.14;2.82;15.38;8.51;78.91;0.0;0.0;
53;Bretagne;Données temps réel;2023-12-28;06:30;2023-12-28T06:30:00+01:00;2236;18;0;705;0;0;0;0;1513;0;0;0.81;1.26;0.0;;31.53;38.61;0.0;0.0;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2023-12-28;14:00;2023-12-28T14:00:00+01:00;2463;19;0;972;101;223;0;0;1148;0;0;0.77;1.33;0.0;;39.46;53.23;4.1;21.58;9.05;81.09;0.0;0.0;
53;Bretagne;Données temps réel;2024-01-10;23:30;2024-01-10T23:30:00+01:00;3699;622;0;155;0;185;0;0;2737;0;0;16.82;43.59;0.0;;4.19;8.49;0.0;0.0;5.0;67.27;0.0;0.0;
53;Bretagne;Données temps réel;2024-01-19;05:45;2024-01-19T05:45:00+01:00;3623;279;0;43;0;158;0;0;3143;0;0;7.7;19.55;0.0;;1.19;2.35;0.0;0.0;4.36;57.45;0.0;0.0;
