Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 68
53;Bretagne;Données temps réel;2023-10-22;11:45;2023-10-22T11:45:00+02:00;1963;16;0;68;182;0;-23;0;1719;0;0;0.82;1.12;0.0;;3.46;5.21;9.27;46.43;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2023-10-25;05:15;2023-10-25T05:15:00+02:00;1888;19;0;96;0;0;-48;0;1821;0;0;1.01;1.33;0.0;;5.08;7.36;0.0;0.0;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2023-10-29;19:00;2023-10-29T19:00:00+01:00;2396;16;0;594;0;33;0;0;1753;0;0;0.67;1.12;0.0;;24.79;45.52;0.0;0.0;1.38;12.0;0.0;0.0;
53;Bretagne;Données temps réel;2023-11-09;10:30;2023-11-09T10:30:00+01:00;2871;433;0;496;71;135;0;0;1734;0;0;15.08;30.24;0.0;;17.28;38.01;2.47;18.11;4.7;49.09;0.0;0.0;
53;Bretagne;Données temps réel;2023-12-07;01:45;2023-12-07T01:45:00+01:00;2835;460;0;891;0;0;-13;0;1497;0;0;16.23;32.24;0.0;;31.43;48.8;0.0;0.0;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2023-12-14;21:45;2023-12-14T21:45:00+01:00;2604;458;0;147;0;0;-56;0;2055;0;0;17.59;32.1;0.0;;5.65;8.05;0.0;0.0;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2023-12-26;17:45;2023-12-26T17:45:00+01:00;2496;19;0;296;0;0;0;0;2181;0;0;0.76;1.33;0.0;;11.86;16.21;0.0;0.0;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2024-01-03;22:00;2024-01-03T22:00:00+01:00;2572;24;0;839;0;0;0;0;1709;0;0;0.93;1.68;0.0;;32.62;45.95;0.0;0.0;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2024-01-10;11:45;2024-01-10T11:45:00+01:00;4360;462;0;127;82;230;0;0;3460;0;0;10.6;32.38;0.0;;2.91;6.96;1.88;17.52;5.28;83.64;0.0;0.0;
53;Bretagne;Données temps réel;2024-01-24;15:30;2024-01-24T15:30:00+01:00;2627;25;0;235;38;0;0;0;2330;0;0;0.95;1.75;0.0;;8.95;12.87;1.45;8.12;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2024-02-09;06:45;2024-02-09T06:45:00+01:00;2526;23;0;871;0;0;0;0;1631;0;0;0.91;1.61;0.0;;34.48;47.7;0.0;0.0;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2024-02-16;14:00;2024-02-16T14:00:00+01:00;2379;23;0;316;117;0;0;0;1923;0;0;0.97;1.61;0.0;;13.28;17.31;4.92;25.0;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2024-03-04;11:15;2024-03-04T11:15:00+01:00;3202;459;0;1105;77;0;0;0;1561;0;0;14.33;32.17;0.0;;34.51;60.51;2.4;16.45;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2024-03-11;16:00;2024-03-11T16:00:00+01:00;2422;22;0;395;135;175;0;0;1695;0;0;0.91;1.54;0.0;;16.31;21.63;5.57;28.85;7.23;63.64;0.0;0.0;
53;Bretagne;Données temps réel;2024-03-12;18:30;2024-03-12T18:30:00+01:00;2533;441;0;514;9;0;0;0;1569;0;0;17.41;30.9;0.0;;20.29;28.15;0.36;1.92;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2024-03-13;11:00;2024-03-13T11:00:00+01:00;2398;19;0;585;183;0;0;0;1610;0;0;0.79;1.33;0.0;;24.4;32.04;7.63;39.1;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2024-03-17;21:00;2024-03-17T21:00:00+01:00;1869;216;0;124;0;0;0;0;1529;0;0;11.56;15.14;0.0;;6.63;6.79;0.0;0.0;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2024-03-28;03:15;2024-03-28T03:15:00+01:00;2350;17;0;505;0;144;0;0;1684;0;0;0.72;1.2;0.0;;21.49;27.34;0.0;0.0;6.13;52.36;0.0;0.0;
53;Bretagne;Données temps réel;2024-04-03;10:00;2024-04-03T10:00:00+02:00;2843;19;0;807;97;8;0;0;1911;0;0;0.67;1.34;0.0;;28.39;43.69;3.41;18.65;0.28;2.91;0.0;0.0;
53;Bretagne;Données temps réel;2024-04-14;14:45;2024-04-14T14:45:00+02:00;1716;18;0;48;333;0;0;0;1317;0;0;1.05;1.27;0.0;;2.8;2.6;19.41;64.04;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2024-05-13;21:15;2024-05-13T21:15:00+02:00;1950;16;0;747;6;0;0;0;1180;0;0;0.82;1.13;0.0;;38.31;40.44;0.31;1.15;0.0;0.0;0.0;0.0;
75;Nouvelle-Aquitaine;Données temps réel;2024-04-27;10:30;2024-04-27T10:30:00+02:00;4061;61;3236;722;1198;331;0;11;-1498;0;0;1.5;10.78;79.68;48.81;17.78;39.52;29.5;26.69;8.15;14.78;0.27;3.04;
75;Nouvelle-Aquitaine;Données temps réel;2024-05-01;03:15;2024-05-01T03:15:00+02:00;2795;62;2758;153;0;419;0;13;-611;0;0;2.22;10.95;98.68;41.6;5.47;8.37;0.0;0.0;14.99;18.71;0.47;3.59;
75;Nouvelle-Aquitaine;Données temps réel;2024-05-07;23:15;2024-05-07T23:15:00+02:00;3798;62;3765;275;0;1095;0;16;-1415;-0;0;1.63;10.95;99.13;56.79;7.24;15.05;0.0;0.0;28.83;48.88;0.42;4.42;
75;Nouvelle-Aquitaine;Données temps réel;2024-04-24;07:15;2024-04-24T07:15:00+02:00;4595;61;5582;167;80;603;0;6;-1902;-0;0;1.33;10.78;121.48;84.19;3.63;9.14;1.74;1.78;13.12;26.92;0.13;1.66;
28;Normandie;Données temps réel;2023-02-04;11:30;2023-02-04T11:30:00+01:00;3531;449;6330;52;47;14;-;39;-3401;-;-;12.72;54.16;179.27;59.49;1.47;5.66;1.33;18.5;0.4;46.67;1.1;26.17;
28;Normandie;Données temps réel;2023-02-06;08:30;2023-02-06T08:30:00+01:00;4373;446;4598;140;5;14;-;39;-868;-;-;10.2;53.8;105.15;43.21;3.2;15.23;0.11;1.97;0.32;46.67;0.89;26.17;
32;Hauts-de-France;Données temps réel;2024-04-30;08:00;2024-04-30T08:00:00+02:00;5112;442;3589;773;37;8;0;91;174;-2;0;8.65;18.36;70.21;65.73;15.12;12.71;0.72;6.68;0.16;200.0;1.78;44.83;
32;Hauts-de-France;Données temps réel;2024-05-06;07:30;2024-05-06T07:30:00+02:00;4932;155;3559;486;22;8;0;101;594;-0;8;3.14;6.44;72.16;65.18;9.85;7.99;0.45;3.97;0.16;200.0;2.05;49.75;
32;Hauts-de-France;Données temps réel;2024-05-18;17:30;2024-05-18T17:30:00+02:00;4388;200;3429;348;144;8;0;101;155;0;2;4.56;8.31;78.14;62.8;7.93;5.72;3.28;25.99;0.18;200.0;2.3;49.75;
24;Centre-Val de Loire;Données temps réel;2023-08-31;08:30;2023-08-31T08:30:00+02:00;1628;0;4182;205;62;27;0;0;-2848;0;0;0.0;0.0;256.88;35.96;12.59;12.83;3.81;7.93;1.66;29.35;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2023-09-16;12:45;2023-09-16T12:45:00+02:00;1640;0;5787;37;372;27;0;0;-4583;0;0;0.0;0.0;352.87;49.76;2.26;2.32;22.68;47.57;1.65;29.35;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2023-09-18;23:45;2023-09-18T23:45:00+02:00;1489;0;5833;331;0;27;0;0;-4701;0;0;0.0;0.0;391.74;50.15;22.23;20.71;0.0;0.0;1.81;29.35;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2023-09-22;03:45;2023-09-22T03:45:00+02:00;1069;0;6432;521;0;27;0;0;-5910;0;0;0.0;0.0;601.68;55.31;48.74;32.6;0.0;0.0;2.53;29.35;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2023-10-04;01:45;2023-10-04T01:45:00+02:00;1353;0;4720;176;0;24;0;0;-3567;0;0;0.0;0.0;348.85;40.58;13.01;11.01;0.0;0.0;1.77;26.09;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2023-10-10;05:45;2023-10-10T05:45:00+02:00;1397;0;6404;39;0;24;0;0;-5070;0;0;0.0;0.0;458.41;55.06;2.79;2.44;0.0;0.0;1.72;26.09;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2023-10-22;18:45;2023-10-22T18:45:00+02:00;1652;0;6548;43;24;24;0;0;-4987;0;0;0.0;0.0;396.37;56.3;2.6;2.69;1.45;3.07;1.45;26.09;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2023-10-24;23:00;2023-10-24T23:00:00+02:00;1661;0;6328;592;0;24;0;0;-5283;0;0;0.0;0.0;380.98;54.41;35.64;37.05;0.0;0.0;1.44;26.09;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2023-11-06;21:30;2023-11-06T21:30:00+01:00;1926;17;6455;760;0;41;0;0;-5347;0;0;0.88;7.39;335.15;55.5;39.46;47.56;0.0;0.0;2.13;44.57;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2023-11-27;19:45;2023-11-27T19:45:00+01:00;2597;17;6826;996;0;34;0;0;-5276;0;0;0.65;7.39;262.84;58.69;38.35;60.51;0.0;0.0;1.31;36.96;0.0;0.0;
24;Centre-Val de Loire;Données temps réel;2023-11-30;18:15;2023-11-30T18:15:00+01:00;2732;17;7043;116;21;43;0;0;-4507;0;0;0.62;7.39;257.8;60.56;4.25;7.05;0.77;2.34;1.57;46.74;0.0;0.0;
