Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 68
53;Bretagne;Données temps réel;2023-09-27;04:45;2023-09-27T04:45:00+02:00;1534;17;0;81;0;52;0;0;1384;0;0;1.11;1.19;0.0;;5.28;6.21;0.0;0.0;3.39;18.91;0.0;0.0;
53;Bretagne;Données temps réel;2023-10-07;13:15;2023-10-07T13:15:00+02:00;1928;20;0;51;286;0;-46;0;1617;0;0;1.04;1.4;0.0;;2.65;3.91;14.83;72.96;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2023-10-18;13:45;2023-10-18T13:45:00+02:00;2449;137;0;952;86;179;0;0;1095;0;0;5.59;9.57;0.0;;38.87;72.95;3.51;21.94;7.31;65.09;0.0;0.0;
53;Bretagne;Données temps réel;2023-10-28;16:00;2023-10-28T16:00:00+02:00;2195;17;0;945;85;60;0;0;1088;0;0;0.77;1.19;0.0;;43.05;72.41;3.87;21.68;2.73;21.82;0.0;0.0;
53;Bretagne;Données temps réel;2023-11-02;06:00;2023-11-02T06:00:00+01:00;1455;23;0;406;0;0;0;0;1026;0;0;1.58;1.61;0.0;;27.9;31.11;0.0;0.0;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2023-11-02;12:30;2023-11-02T12:30:00+01:00;2244;24;0;560;127;0;0;0;1534;0;0;1.07;1.68;0.0;;24.96;42.91;5.66;32.4;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2023-11-08;19:00;2023-11-08T19:00:00+01:00;2990;24;0;291;0;0;0;0;2676;0;0;0.8;1.68;0.0;;9.73;22.3;0.0;0.0;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2023-11-26;15:45;2023-11-26T15:45:00+01:00;2255;464;0;238;49;0;0;0;1504;0;0;20.58;32.4;0.0;;10.55;18.24;2.17;12.5;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2023-11-27;03:45;2023-11-27T03:45:00+01:00;2064;18;0;372;0;0;0;0;1675;0;0;0.87;1.26;0.0;;18.02;20.37;0.0;0.0;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2023-12-10;05:45;2023-12-10T05:45:00+01:00;1851;19;0;384;0;0;-50;0;1498;0;0;1.03;1.33;0.0;;20.75;21.03;0.0;0.0;0.0;0.0;0.0;0.0;
