Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 68
52;Pays de la Loire;Données temps réel;2023-11-01;16:45;2023-11-01T16:45:00+01:00;1826;224;0;1039;77;13;0;84;389;0;0;12.27;11.13;0.0;;56.9;60.2;4.22;8.37;0.71;130.0;4.6;102.44;
52;Pays de la Loire;Données temps réel;2023-11-03;00:15;2023-11-03T00:15:00+01:00;2902;238;0;685;0;14;0;84;1881;0;0;8.2;11.82;0.0;;23.6;39.69;0.0;0.0;0.48;140.0;2.89;102.44;
52;Pays de la Loire;Données temps réel;2023-11-03;03:15;2023-11-03T03:15:00+01:00;2431;240;0;748;0;14;0;84;1345;0;0;9.87;11.92;0.0;;30.77;43.34;0.0;0.0;0.58;140.0;3.46;102.44;
52;Pays de la Loire;Données temps réel;2023-11-12;04:45;2023-11-12T04:45:00+01:00;1333;243;0;1177;0;15;0;84;-186;0;0;18.23;12.07;0.0;;88.3;68.19;0.0;0.0;1.13;150.0;6.3;102.44;
52;Pays de la Loire;Données temps réel;2023-05-19;06:00;2023-05-19T06:00:00+02:00;2051;17;0;523;0;2;0;43;1466;-;-;0.83;0.84;0.0;;25.5;30.3;0.0;0.0;0.1;20.0;2.1;52.44;
52;Pays de la Loire;Données temps réel;2023-05-30;04:30;2023-05-30T04:30:00+02:00;1768;17;0;821;0;2;0;43;884;-;-;0.96;0.84;0.0;;46.44;47.57;0.0;0.0;0.11;20.0;2.43;52.44;
52;Pays de la Loire;Données temps réel;2023-06-19;11:30;2023-06-19T11:30:00+02:00;2958;19;0;47;304;2;0;45;2541;-;-;0.64;0.94;0.0;;1.59;2.72;10.28;33.04;0.07;20.0;1.52;54.88;
52;Pays de la Loire;Données temps réel;2023-06-27;15:00;2023-06-27T15:00:00+02:00;2854;19;0;43;602;2;0;45;2143;-;-;0.67;0.94;0.0;;1.51;2.49;21.09;65.43;0.07;20.0;1.58;54.88;
52;Pays de la Loire;Données temps réel;2023-08-05;17:15;2023-08-05T17:15:00+02:00;1710;24;0;1387;415;9;0;83;-208;0;0;1.4;1.19;0.0;;81.11;80.36;24.27;45.11;0.53;90.0;4.85;101.22;
52;Pays de la Loire;Données temps réel;2024-04-02;02:00;2024-04-02T02:00:00+02:00;1620;16;0;1126;0;18;0;83;375;0;3;0.99;0.79;0.0;;69.51;61.94;0.0;0.0;1.11;180.0;5.12;97.65;
52;Pays de la Loire;Données temps réel;2024-04-04;07:15;2024-04-04T07:15:00+02:00;2080;20;0;1458;7;17;0;83;475;0;20;0.96;0.99;0.0;;70.1;80.2;0.34;0.58;0.82;170.0;3.99;97.65;
52;Pays de la Loire;Données temps réel;2024-04-12;04:30;2024-04-12T04:30:00+02:00;1358;17;0;60;0;17;0;83;1181;0;0;1.25;0.84;0.0;;4.42;3.3;0.0;0.0;1.25;170.0;6.11;97.65;
52;Pays de la Loire;Données temps réel;2024-05-03;23:30;2024-05-03T23:30:00+02:00;3019;18;0;178;0;18;0;84;2695;0;27;0.6;0.89;0.0;;5.9;9.79;0.0;0.0;0.6;180.0;2.78;98.82;
52;Pays de la Loire;Données temps réel;2024-05-10;14:30;2024-05-10T14:30:00+02:00;2296;21;0;522;971;19;0;84;679;0;0;0.91;1.04;0.0;;22.74;28.71;42.29;80.12;0.83;190.0;3.66;98.82;
52;Pays de la Loire;Données temps réel;2024-05-11;10:00;2024-05-11T10:00:00+02:00;2181;15;0;186;562;19;0;84;1290;0;24;0.69;0.74;0.0;;8.53;10.23;25.77;46.37;0.87;190.0;3.85;98.82;
52;Pays de la Loire;Données temps réel;2024-05-14;03:00;2024-05-14T03:00:00+02:00;2189;13;0;715;0;18;0;84;1359;0;0;0.59;0.65;0.0;;32.66;39.33;0.0;0.0;0.82;180.0;3.84;98.82;
52;Pays de la Loire;Données temps réel;2024-05-20;00:30;2024-05-20T00:30:00+02:00;2322;13;0;131;0;18;0;84;2077;0;0;0.56;0.65;0.0;;5.64;7.21;0.0;0.0;0.78;180.0;3.62;98.82;
28;Normandie;Données temps réel;2024-04-03;00:30;2024-04-03T00:30:00+02:00;3038;238;7517;940;0;15;0;43;-5715;0;0;7.83;30.91;247.43;70.65;30.94;60.26;0.0;0.0;0.49;51.72;1.42;32.33;
28;Normandie;Données temps réel;2024-04-07;08:00;2024-04-07T08:00:00+02:00;2119;198;5036;861;7;15;0;41;-4039;0;0;9.34;25.71;237.66;47.33;40.63;55.19;0.33;2.21;0.71;51.72;1.93;30.83;
28;Normandie;Données temps réel;2024-04-22;22:30;2024-04-22T22:30:00+02:00;3309;239;6352;243;0;15;0;23;-3563;0;0;7.22;31.04;191.96;59.7;7.34;15.58;0.0;0.0;0.45;51.72;0.7;17.29;
28;Normandie;Données temps réel;2024-05-04;21:30;2024-05-04T21:30:00+02:00;2449;177;6322;119;1;13;0;44;-4227;0;0;7.23;22.99;258.15;59.42;4.86;7.63;0.04;0.32;0.53;44.83;1.8;33.08;
