Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 68
53;Bretagne;Données temps réel;2024-02-25;04:15;2024-02-25T04:15:00+01:00;2075;16;0;432;0;52;0;0;1574;0;0;0.77;1.12;0.0;;20.82;23.66;0.0;0.0;2.51;18.91;0.0;0.0;
53;Bretagne;Données temps réel;2024-03-11;18:00;2024-03-11T18:00:00+01:00;2397;452;0;370;28;0;0;0;1546;0;0;18.86;31.67;0.0;;15.44;20.26;1.17;5.98;0.0;0.0;0.0;0.0;
53;Bretagne;Données temps réel;2024-03-13;10:15;2024-03-13T10:15:00+01:00;2467;21;0;482;127;0;0;0;1837;0;0;0.85;1.47;0.0;;19.54;26.4;5.15;27.14;0.0;0.0;0.0;0.0;
75;Nouvelle-Aquitaine;Données temps réel;2024-05-05;10:45;2024-05-05T10:45:00+02:00;3181;62;2765;197;1403;658;0;13;-1917;0;0;1.95;10.95;86.92;41.7;6.19;10.78;44.11;31.26;20.69;29.38;0.41;3.59;
75;Nouvelle-Aquitaine;Données temps réel;2024-05-08;01:15;2024-05-08T01:15:00+02:00;3422;62;3758;296;0;1040;0;16;-1751;-0;0;1.81;10.95;109.82;56.68;8.65;16.2;0.0;0.0;30.39;46.43;0.47;4.42;
75;Nouvelle-Aquitaine;Données temps réel;2024-05-09;07:15;2024-05-09T07:15:00+02:00;2683;62;4114;357;130;1094;0;16;-3090;-0;0;2.31;10.95;153.34;62.05;13.31;19.54;4.85;2.9;40.78;48.84;0.6;4.42;
75;Nouvelle-Aquitaine;Données temps réel;2024-05-09;12:00;2024-05-09T12:00:00+02:00;3486;62;4110;241;2907;879;0;16;-4729;-0;0;1.78;10.95;117.9;61.99;6.91;13.19;83.39;64.77;25.22;39.24;0.46;4.42;
75;Nouvelle-Aquitaine;Données temps réel;2024-04-25;02:45;2024-04-25T02:45:00+02:00;4037;61;5557;90;0;328;0;5;-2004;-0;0;1.51;10.78;137.65;83.82;2.23;4.93;0.0;0.0;8.12;14.64;0.12;1.38;
75;Nouvelle-Aquitaine;Données temps réel;2023-04-01;21:00;2023-04-01T21:00:00+02:00;4213;47;3374;475;58;597;0;173;-511;-;-;1.12;8.08;80.09;50.89;11.27;35.85;1.38;1.68;14.17;26.88;4.11;51.34;
75;Nouvelle-Aquitaine;Données temps réel;2023-05-27;21:30;2023-05-27T21:30:00+02:00;3555;35;4462;382;93;352;0;175;-1945;-;-;0.98;6.26;125.51;67.3;10.75;24.13;2.62;2.4;9.9;15.71;4.92;53.68;
75;Nouvelle-Aquitaine;Données temps réel;2023-05-29;21:30;2023-05-29T21:30:00+02:00;3622;35;4386;627;81;475;0;176;-2158;-;-;0.97;6.26;121.09;66.15;17.31;39.61;2.24;2.09;13.11;21.2;4.86;53.99;
75;Nouvelle-Aquitaine;Données temps réel;2023-06-04;11:00;2023-06-04T11:00:00+02:00;3994;35;2644;55;2327;191;0;193;-1452;-;-;0.88;6.26;66.2;39.88;1.38;3.47;58.26;60.02;4.78;8.52;4.83;59.2;
75;Nouvelle-Aquitaine;Données temps réel;2023-06-06;10:00;2023-06-06T10:00:00+02:00;4422;35;4417;144;1616;553;0;178;-2520;-;-;0.79;6.26;99.89;66.62;3.26;9.1;36.54;41.68;12.51;24.68;4.03;54.6;
