Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 68
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-04-18;10:15;2023-04-18T10:15:00+02:00;4263;354;0;3;941;785;0;87;2093;-;-;8.3;13.03;0.0;;0.07;3.13;22.07;48.18;18.41;24.05;2.04;29.29;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-04-29;04:30;2023-04-29T04:30:00+02:00;3115;404;0;0;0;588;0;214;1908;-;-;12.97;14.87;0.0;;0.0;0.0;0.0;0.0;18.88;18.01;6.87;72.05;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-04-30;20:45;2023-04-30T20:45:00+02:00;3730;490;0;13;37;1269;0;257;1664;-;-;13.14;18.03;0.0;;0.35;13.54;0.99;1.89;34.02;38.88;6.89;86.53;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-05-08;01:30;2023-05-08T01:30:00+02:00;3231;377;0;15;0;737;0;92;2011;-;-;11.67;13.88;0.0;;0.46;15.63;0.0;0.0;22.81;22.58;2.85;30.98;
52;Pays de la Loire;Données temps réel;2023-12-12;04:00;2023-12-12T04:00:00+01:00;2081;306;0;912;0;16;0;85;763;0;0;14.7;15.23;0.0;;43.83;50.92;0.0;0.0;0.77;160.0;4.08;94.44;
52;Pays de la Loire;Données temps réel;2023-12-13;03:45;2023-12-13T03:45:00+01:00;2428;305;0;821;0;15;0;85;1203;0;0;12.56;15.18;0.0;;33.81;45.84;0.0;0.0;0.62;150.0;3.5;94.44;
52;Pays de la Loire;Données temps réel;2023-12-26;00:00;2023-12-26T00:00:00+01:00;4573;309;0;906;0;17;0;84;3257;0;0;6.76;15.38;0.0;;19.81;50.59;0.0;0.0;0.37;170.0;1.84;93.33;
52;Pays de la Loire;Données temps réel;2024-01-08;03:15;2024-01-08T03:15:00+01:00;3940;324;0;740;0;15;0;84;2777;0;0;8.22;16.13;0.0;;18.78;41.32;0.0;0.0;0.38;150.0;2.13;93.33;
52;Pays de la Loire;Données temps réel;2024-01-10;12:00;2024-01-10T12:00:00+01:00;5524;747;0;271;218;16;0;84;4189;0;0;13.52;37.18;0.0;;4.91;15.13;3.95;20.04;0.29;160.0;1.52;93.33;
52;Pays de la Loire;Données temps réel;2024-01-16;11:15;2024-01-16T11:15:00+01:00;4378;756;0;372;317;15;0;84;2833;0;0;17.27;37.63;0.0;;8.5;20.77;7.24;29.14;0.34;150.0;1.92;93.33;
52;Pays de la Loire;Données temps réel;2024-01-24;09:00;2024-01-24T09:00:00+01:00;4172;721;0;909;27;18;0;84;2414;0;0;17.28;35.89;0.0;;21.79;50.75;0.65;2.48;0.43;180.0;2.01;93.33;
